No.	Pos. [°2Th.]	FWHM Left [°2Th.]	Area calc.	h	k	l	Multiplicity	F obs.	F calc.	Backgr.[cts]	d-spacing [Å]	Height [cts]	Shape Left	Source	Status	Crystallite Size only [Å]	Micro Strain only [%]
1	20.7213	0.1023	0.00	 	 	 	 	0.000000	0.000000	39076.37	4.28670	1151.22	0.600	Search Peaks	Included	1145.416000	0.187124
2	21.6390	0.1279	0.00	 	 	 	 	0.000000	0.000000	33560.94	4.10694	944.95	0.600	Search Peaks	Included	824.733400	0.248986
3	22.5394	0.2047	0.00	 	 	 	 	0.000000	0.000000	28908.16	3.94487	1003.51	0.600	Search Peaks	Included	469.893100	0.419763
4	24.7526	0.2047	0.00	 	 	 	 	0.000000	0.000000	21199.38	3.59693	1870.28	0.600	Search Peaks	Included	471.635000	0.381326
5	25.9839	0.1535	0.00	 	 	 	 	0.000000	0.000000	19911.16	3.42921	945.42	0.600	Search Peaks	Included	658.614200	0.260335
6	26.5706	0.1535	0.00	 	 	 	 	0.000000	0.000000	19019.49	3.35482	260.69	0.600	Search Peaks	Included	659.304800	0.254421
7	27.1665	0.1535	0.00	 	 	 	 	0.000000	0.000000	18212.18	3.28256	563.36	0.600	Search Peaks	Included	660.030400	0.248668
8	27.9224	0.1535	0.00	 	 	 	 	0.000000	0.000000	17205.54	3.19539	6530.33	0.600	Search Peaks	Included	660.985800	0.241714
9	28.3337	0.1663	0.00	 	 	 	 	0.000000	0.000000	16657.94	3.14995	7349.41	0.600	Search Peaks	Included	601.412000	0.261879
10	28.6104	0.1023	0.00	 	 	 	 	0.000000	0.000000	16289.40	3.12010	3323.16	0.600	Search Peaks	Included	1154.932000	0.135077
11	29.0513	0.1535	0.00	 	 	 	 	0.000000	0.000000	15702.23	3.07374	14668.05	0.600	Search Peaks	Included	662.486100	0.231986
12	29.9816	0.1791	0.00	 	 	 	 	0.000000	0.000000	14463.48	2.98046	372.12	0.600	Search Peaks	Included	553.872700	0.269057
13	30.8305	0.0768	0.00	 	 	 	 	0.000000	0.000000	13402.74	2.90030	2433.00	0.600	Search Peaks	Included	2167.608000	0.066901
14	32.4632	0.1023	0.00	 	 	 	 	0.000000	0.000000	11835.94	2.75807	2195.66	0.600	Search Peaks	Included	1163.325000	0.118543
15	33.2680	0.1279	0.00	 	 	 	 	0.000000	0.000000	11292.24	2.69316	1340.55	0.600	Search Peaks	Included	841.929900	0.159940
16	33.9401	0.1279	0.00	 	 	 	 	0.000000	0.000000	10838.24	2.64136	1289.34	0.600	Search Peaks	Included	843.330700	0.156603
17	34.3561	0.1023	0.00	 	 	 	 	0.000000	0.000000	10557.16	2.61032	3672.08	0.600	Search Peaks	Included	1168.395000	0.111705
18	35.0076	0.0768	0.00	 	 	 	 	0.000000	0.000000	10117.04	2.56322	1844.06	0.600	Search Peaks	Included	2179.878000	0.058793
19	36.2541	0.1407	0.00	 	 	 	 	0.000000	0.000000	9462.39	2.47790	4046.00	0.600	Search Peaks	Included	750.377100	0.165110
20	37.0624	0.0895	0.00	 	 	 	 	0.000000	0.000000	9201.84	2.42569	4181.73	0.600	Search Peaks	Included	1495.807000	0.081083
21	37.4580	0.0624	0.00	 	 	 	 	0.000000	0.000000	9074.34	2.39900	6521.21	0.600	Search Peaks	Included	29470.760000	0.004070
22	37.5935	0.1279	0.00	 	 	 	 	0.000000	0.000000	9030.65	2.39264	8884.94	0.600	Search Peaks	Included	851.781600	0.140449
23	38.3904	0.1535	0.00	 	 	 	 	0.000000	0.000000	8773.81	2.34479	964.00	0.600	Search Peaks	Included	678.440900	0.172807
24	39.3413	0.1279	0.00	 	 	 	 	0.000000	0.000000	8566.81	2.29028	8925.97	0.600	Search Peaks	Included	856.340200	0.133725
25	39.8410	0.0780	0.00	 	 	 	 	0.000000	0.000000	8492.13	2.26082	5437.77	0.600	Search Peaks	Included	29686.480000	0.003808
26	39.9360	0.0640	0.00	 	 	 	 	0.000000	0.000000	8477.93	2.25753	4892.20	0.600	Search Peaks	Included	12455.920000	0.009062
27	40.9225	0.0512	0.00	 	 	 	 	0.000000	0.000000	8330.49	2.20536	2813.65	0.600	Search Peaks	Included	29814.360000	0.003698
28	41.2738	0.1279	0.00	 	 	 	 	0.000000	0.000000	8277.99	2.18740	741.88	0.600	Search Peaks	Included	861.785500	0.126911
29	42.0930	0.1279	0.00	 	 	 	 	0.000000	0.000000	8155.53	2.14670	549.76	0.600	Search Peaks	Included	864.226400	0.124198
30	42.5380	0.0640	0.00	 	 	 	 	0.000000	0.000000	8089.03	2.12528	1475.23	0.600	Search Peaks	Included	13420.850000	0.007918
31	42.8110	0.1279	0.00	 	 	 	 	0.000000	0.000000	8048.22	2.11235	2746.94	0.600	Search Peaks	Included	866.431600	0.121899
32	44.0623	0.2303	0.00	 	 	 	 	0.000000	0.000000	7861.19	2.05522	2061.29	0.600	Search Peaks	Included	436.524200	0.235408
33	44.3490	0.0512	0.00	 	 	 	 	0.000000	0.000000	7818.35	2.04260	3637.67	0.600	Search Peaks	Included	30164.330000	0.003386
34	46.2707	0.2558	0.00	 	 	 	 	0.000000	0.000000	7555.91	1.96215	118.16	0.600	Search Peaks	Included	393.007700	0.249632
35	46.9892	0.0895	0.00	 	 	 	 	0.000000	0.000000	7400.20	1.93381	770.76	0.600	Search Peaks	Included	1553.458000	0.062242
36	48.0158	0.1151	0.00	 	 	 	 	0.000000	0.000000	7156.45	1.89483	3152.13	0.600	Search Peaks	Included	1023.247000	0.092589
37	48.6990	0.0768	0.00	 	 	 	 	0.000000	0.000000	6994.25	1.86984	779.77	0.600	Search Peaks	Included	2312.146000	0.040435
38	49.0078	0.1092	0.00	 	 	 	 	0.000000	0.000000	6920.94	1.85724	1565.34	0.600	Search Peaks	Included	1713.963000	0.054180
39	49.1761	0.0624	0.00	 	 	 	 	0.000000	0.000000	6880.96	1.85127	2325.37	0.600	Search Peaks	Included	30693.420000	0.003016
40	49.5625	0.1535	0.00	 	 	 	 	0.000000	0.000000	6789.23	1.83926	1083.22	0.600	Search Peaks	Included	706.833000	0.130106
41	50.0854	0.1279	0.00	 	 	 	 	0.000000	0.000000	6665.09	1.82128	2329.09	0.600	Search Peaks	Included	892.491000	0.102034
42	50.6576	0.2303	0.00	 	 	 	 	0.000000	0.000000	6529.24	1.80205	1771.14	0.600	Search Peaks	Included	447.958600	0.201140
43	51.3235	0.1279	0.00	 	 	 	 	0.000000	0.000000	6371.14	1.78022	1080.53	0.600	Search Peaks	Included	897.649700	0.099160
44	51.7743	0.1279	0.00	 	 	 	 	0.000000	0.000000	6264.09	1.76577	1408.65	0.600	Search Peaks	Included	899.584500	0.098144
45	52.5247	0.1023	0.00	 	 	 	 	0.000000	0.000000	6085.94	1.74230	4037.27	0.600	Search Peaks	Included	1254.016000	0.069469
46	53.0920	0.1151	0.00	 	 	 	 	0.000000	0.000000	5951.24	1.72501	5723.45	0.600	Search Peaks	Included	1048.543000	0.082258
47	54.7054	0.1560	0.00	 	 	 	 	0.000000	0.000000	5627.08	1.67651	6254.59	0.600	Search Peaks	Included	758.285900	0.110546
48	54.8827	0.1092	0.00	 	 	 	 	0.000000	0.000000	5599.30	1.67566	2908.65	0.600	Search Peaks	Included	1810.554000	0.046275
49	55.3530	0.1872	0.00	 	 	 	 	0.000000	0.000000	5525.58	1.65841	930.47	0.600	Search Peaks	Included	564.576800	0.146872
50	56.6182	0.1248	0.00	 	 	 	 	0.000000	0.000000	5327.29	1.62432	825.57	0.600	Search Peaks	Included	1223.403000	0.066385
51	57.0321	0.2496	0.00	 	 	 	 	0.000000	0.000000	5262.42	1.61351	1472.70	0.600	Search Peaks	Included	380.107600	0.212244
52	57.6138	0.2496	0.00	 	 	 	 	0.000000	0.000000	5171.26	1.59860	131.99	0.600	Search Peaks	Included	381.340400	0.209603
53	58.5106	0.1248	0.00	 	 	 	 	0.000000	0.000000	5036.21	1.57621	2350.38	0.600	Search Peaks	Included	1243.764000	0.063365
54	58.8471	0.1092	0.00	 	 	 	 	0.000000	0.000000	4987.35	1.56800	3812.85	0.600	Search Peaks	Included	1892.045000	0.041437
55	59.0383	0.0780	0.00	 	 	 	 	0.000000	0.000000	4959.58	1.56726	4017.85	0.600	Search Peaks	Included	32153.370000	0.002437
56	60.0283	0.0936	0.00	 	 	 	 	0.000000	0.000000	4815.82	1.53994	1186.97	0.600	Search Peaks	Included	10542.640000	0.007303
57	61.9248	0.2496	0.00	 	 	 	 	0.000000	0.000000	4624.75	1.49725	404.68	0.600	Search Peaks	Included	391.240800	0.191347
58	62.3863	0.2496	0.00	 	 	 	 	0.000000	0.000000	4603.45	1.48728	579.99	0.600	Search Peaks	Included	392.384500	0.189518
59	64.1589	0.2184	0.00	 	 	 	 	0.000000	0.000000	4539.68	1.45040	736.37	0.600	Search Peaks	Included	476.447700	0.152210
60	65.3113	0.0624	0.00	 	 	 	 	0.000000	0.000000	4514.09	1.42757	3003.83	0.600	Search Peaks	Included	33150.330000	0.002153
61	65.4667	0.0780	0.00	 	 	 	 	0.000000	0.000000	4510.63	1.42809	1797.51	0.600	Search Peaks	Included	33261.640000	0.002147
62	66.1085	0.1248	0.00	 	 	 	 	0.000000	0.000000	4496.38	1.41227	831.71	0.600	Search Peaks	Included	1348.996000	0.052345
63	66.3268	0.1248	0.00	 	 	 	 	0.000000	0.000000	4491.53	1.40815	670.69	0.600	Search Peaks	Included	1352.688000	0.052050
64	67.3337	0.1560	0.00	 	 	 	 	0.000000	0.000000	4469.16	1.38952	1118.49	0.600	Search Peaks	Included	835.746200	0.083131
65	67.6934	0.1716	0.00	 	 	 	 	0.000000	0.000000	4461.17	1.38301	2924.14	0.600	Search Peaks	Included	708.506900	0.097600
66	67.8944	0.1248	0.00	 	 	 	 	0.000000	0.000000	4456.71	1.38283	1594.09	0.600	Search Peaks	Included	1383.963000	0.049959
67	68.3711	0.1872	0.00	 	 	 	 	0.000000	0.000000	4446.12	1.37094	588.77	0.600	Search Peaks	Included	618.624800	0.110806
68	68.7812	0.1248	0.00	 	 	 	 	0.000000	0.000000	4437.01	1.36377	490.95	0.600	Search Peaks	Included	1397.384000	0.048797
69	69.5502	0.1092	0.00	 	 	 	 	0.000000	0.000000	4419.93	1.35056	1750.20	0.600	Search Peaks	Included	2288.859000	0.029503
70	69.8295	0.1872	0.00	 	 	 	 	0.000000	0.000000	4413.72	1.34584	1169.10	0.600	Search Peaks	Included	626.434000	0.107420
71	70.5134	0.1560	0.00	 	 	 	 	0.000000	0.000000	4398.53	1.33445	1309.50	0.600	Search Peaks	Included	862.479300	0.077361
72	70.7157	0.0936	0.00	 	 	 	 	0.000000	0.000000	4394.04	1.33444	767.82	0.600	Search Peaks	Included	19800.600000	0.003370
73	71.0553	0.0468	0.00	 	 	 	 	0.000000	0.000000	4386.49	1.32560	1457.88	0.600	Search Peaks	Included	34294.700000	0.001933
74	71.2945	0.0780	0.00	 	 	 	 	0.000000	0.000000	4381.18	1.32174	1156.54	0.600	Search Peaks	Included	34345.960000	0.001924
75	71.5010	0.0936	0.00	 	 	 	 	0.000000	0.000000	4376.59	1.31843	971.63	0.600	Search Peaks	Included	20764.450000	0.003175
76	71.8430	0.0936	0.00	 	 	 	 	0.000000	0.000000	4369.00	1.31625	619.49	0.600	Search Peaks	Included	21295.460000	0.003090
77	72.3140	0.0936	0.00	 	 	 	 	0.000000	0.000000	4358.53	1.30559	1782.41	0.600	Search Peaks	Included	21941.970000	0.002975
78	72.4977	0.0936	0.00	 	 	 	 	0.000000	0.000000	4354.45	1.30597	1049.80	0.600	Search Peaks	Included	22283.590000	0.002930
